"oi_emp_pfk";"cam_agua_servida_destino";"cam_captacao_agua_subt";"cam_tp_poco";"cam_profundidade_poco";"asb_nu_profundidadefinal";"cam_utilizacao_poco";"cam_realizacao_car";"cam_captacoes_comple";"cam_capta_lanca_futuro"
"30660";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Água de Consumo Mineral";"Não consta"
"30661";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30662";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30663";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30664";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Poço";"Não consta"
"30665";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente/Poço";"Não consta"
"30666";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30667";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30668";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30669";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30670";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30671";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30672";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30673";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30674";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30675";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30676";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Rede Pública";"Não consta"
"30677";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Rede Pública";"Não consta"
"30678";"Fossa Séptica";"t";"Cacimba";"De 10 a 20 metros";"";"Poço Ativo";"Realizado";"Rede Pública";"Não consta"
"30679";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30680";"Lançamento no Solo";"t";"Tubular";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30681";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30682";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30683";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30684";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Rede Pública";"Não consta"
"30685";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30686";"Fossa Séptica/Rede Pública";"f";"";"";"";"";"Realizado";"Rede Pública";"Não consta"
"30687";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30688";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30689";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Ampliação do Açude"
"30690";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30691";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30692";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30693";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
