"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"173441";"Consumo Humano";"Subterrânea"
"173442";"Consumo Humano";"Subterrânea"
"173443";"Consumo Humano";"Subterrânea"
"173444";"Nenhum Outro Uso";"Subterrânea"
"173445";"Consumo Humano";"Subterrânea"
"173446";"Nenhum Outro Uso";"Subterrânea"
"173447";"Pecuária";"Subterrânea"
"173448";"Nenhum Outro Uso";"Subterrânea"
"173449";"Nenhum Outro Uso";"Subterrânea"
"173450";"Pecuária";"Subterrânea"
"173451";"Pecuária";"Subterrânea"
"173452";"Nenhum Outro Uso";"Subterrânea"
"173453";"Nenhum Outro Uso";"Subterrânea"
"173454";"Nenhum Outro Uso";"Subterrânea"
"173455";"Consumo Humano/Pecuária";"Subterrânea"
"173456";"Nenhum Outro Uso";"Subterrânea"
"173457";"Consumo Humano/Pecuária";"Subterrânea"
"173458";"Nenhum Outro Uso";"Subterrânea"
"173459";"Consumo Humano";"Subterrânea"
"173460";"Consumo Humano";"Subterrânea"
"173461";"Consumo Humano";"Subterrânea"
"173462";"Consumo Humano";"Subterrânea"
"173463";"Nenhum Outro Uso";"Subterrânea"
"173464";"Consumo Humano";"Subterrânea"
"173465";"Consumo Humano/Pecuária";"Subterrânea"
"173466";"Consumo Humano";"Subterrânea"
"173467";"Pecuária";"Subterrânea"
"173468";"Nenhum Outro Uso";"Subterrânea"
"173469";"Consumo Humano";"Subterrânea"
"173470";"Consumo Humano";"Subterrânea"
"173471";"Nenhum Outro Uso";"Subterrânea"
"173472";"Nenhum Outro Uso";"Subterrânea"
"173473";"Nenhum Outro Uso";"Subterrânea"
"173474";"Nenhum Outro Uso";"Subterrânea"
"173475";"Nenhum Outro Uso";"Subterrânea"
"173476";"Nenhum Outro Uso";"Subterrânea"
"173477";"Nenhum Outro Uso";"Subterrânea"
"173478";"Nenhum Outro Uso";"Subterrânea"
"173479";"Nenhum Outro Uso";"Subterrânea"
"173480";"Nenhum Outro Uso";"Subterrânea"
"173481";"Nenhum Outro Uso";"Subterrânea"
"173482";"Consumo Humano";"Subterrânea"
"173483";"Consumo Humano";"Subterrânea"
"173484";"Consumo Humano";"Subterrânea"
"173485";"Nenhum Outro Uso";"Subterrânea"
"173486";"Nenhum Outro Uso";"Subterrânea"
"173487";"Consumo Humano";"Subterrânea"
"173488";"Consumo Humano";"Subterrânea"
"173489";"Consumo Humano/Pecuária";"Subterrânea"
"173490";"Consumo Humano";"Subterrânea"
"173491";"Consumo Humano";"Subterrânea"
"173492";"Nenhum Outro Uso";"Subterrânea"
"173493";"Consumo Humano/Pecuária";"Subterrânea"
"173494";"Pecuária";"Subterrânea"
"173495";"Consumo Humano";"Subterrânea"
"173496";"Consumo Humano";"Subterrânea"
"173497";"Consumo Humano/Pecuária";"Subterrânea"
"173498";"Consumo Humano";"Subterrânea"
"173499";"Consumo Humano";"Subterrânea"
"173500";"Nenhum Outro Uso";"Subterrânea"
"173501";"Nenhum Outro Uso";"Subterrânea"
"173502";"Consumo Humano";"Subterrânea"
"173503";"Nenhum Outro Uso";"Subterrânea"
"173504";"Consumo Humano";"Subterrânea"
"173505";"Consumo Humano";"Subterrânea"
"173506";"Nenhum Outro Uso";"Subterrânea"
"173507";"Nenhum Outro Uso";"Subterrânea"
"173508";"Nenhum Outro Uso";"Subterrânea"
"173509";"Nenhum Outro Uso";"Subterrânea"
"173510";"Nenhum Outro Uso";"Subterrânea"
"173511";"Nenhum Outro Uso";"Subterrânea"
"173512";"Nenhum Outro Uso";"Subterrânea"
"173513";"Nenhum Outro Uso";"Subterrânea"
"173514";"Nenhum Outro Uso";"Subterrânea"
"173515";"Nenhum Outro Uso";"Subterrânea"
